卖家ID,前一天登录次数,前一周登录次数,上传产品数量,审核通过的产品总数量,在线产品数量,前一天产品曝光次数,前一周产品曝光次数,最近7天产品曝光次数,前一天在线时长,前一周在线时长,最近7天登录次数,最近7天在线时长,前一个月登录次数,前一个月在线时长,最近30天登录次数,最近30天在线时长,前3个月登录次数,前3个月在线时长,最近90天登录次数,最近90天在线时长,前一月产品曝光次数,最近30天产品曝光次数,前3月产品曝光次数,最近90天产品曝光次数,城市,诚保类型,黄牌数量,警告数量,代理商名称,最近60天手动好评数量,最近60天中评数量,最近60天差评数量,最近60天的订单未评价率
ff8080814c30bd6b014c44ed749f2423,0,0,0,0,0,0,0,0,0,0,0,0,3,0.09,3,0.09,3,0.09,3,0.09,0,0,0,0,成都市, ,0,0, ,0,0,0,0
ff8080814c30bd1c014c44eb5dbf24c8,0,0,0,0,0,0,0,0,0,0,0,0,3,0.28,3,0.28,3,0.28,3,0.28,0,0,0,0,滁州市, ,0,0, ,0,0,0,0
ff8080814c30bd6d014c44e89ff82434,0,0,0,0,0,0,0,0,0,0,0,0,1,0.22,1,0.22,1,0.22,1,0.22,0,0,0,0,深圳市, ,0,0, ,0,0,0,0
ff8080814c30bd1c014c44e704a024bb,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00,1,0.00,1,0.00,1,0.00,0,0,0,0,嘉兴市, ,0,0, ,0,0,0,0
ff8080814c30bd1c014c44e31a1924b3,1,6,30,22,22,43,110,147,1.69,4.46,6,6.15,9,24.13,15,30.28,9,24.13,15,30.28,16,163,16,163,绍兴市, ,0,0, ,0,0,0,0
ff8080814c30bd1c014c44ddf70a2490,0,0,0,0,0,0,0,0,0,0,0,0,2,1.47,2,1.47,2,1.47,2,1.47,0,0,0,0,杭州市, ,0,0, ,0,0,0,0
ff8080814c30bd1c014c44dc01d4249e,1,4,56,54,48,107,45,152,3.28,11.18,5,14.46,4,4.77,9,19.23,4,4.77,9,19.23,0,152,0,152,深圳市, ,0,0, ,0,0,0,0
ff8080814c30bd1c014c44d9391d2480,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00,1,0.00,1,0.00,1,0.00,0,0,0,0,孝感市, ,0,0, ,0,0,0,0
ff8080814c30bd1c014c44d834d5247c,0,0,0,0,0,0,0,0,0,0,0,0,2,0.16,2,0.16,2,0.16,2,0.16,0,0,0,0,沈阳市, ,0,0, ,0,0,0,0
ff8080814c30bd6d014c44d71d0f2411,0,0,0,0,0,0,0,0,0,0,0,0,1,0.82,1,0.82,1,0.82,1,0.82,0,0,0,0,深圳市, ,0,0, ,0,0,0,0
ff8080814c30bd6b014c44d515a523eb,0,1,0,0,0,0,0,0,0,0.00,1,0.00,1,0.12,2,0.12,1,0.12,2,0.12,0,0,0,0,黄石市, ,0,0, ,0,0,0,0
ff8080814c30bd6d014c44d2deb623f8,0,0,0,0,0,0,0,0,0,0,0,0,4,2.72,4,2.72,4,2.72,4,2.72,0,0,0,0,绵阳市, ,0,0, ,0,0,0,0
ff8080814c30bd6b014c44d2a7cb23de,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00,1,0.00,1,0.00,1,0.00,0,0,0,0,湖州市, ,0,0, ,0,0,0,0
